hostname,ip_address,position,model,serial_number,port_location,vendor,notes
2960-CX-Series-NOC.dtc_phx.com,10.0.255.10,Standalone,WS-C2960CX-8PC-L,FOC2007W393,,,
,,Module,"""""","""""",WS-C2960CX-8PC-L - Fixed Module 0,,
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Standalone,WS-CBS3130X-S,FOC1437H012,,,
,,Module,800-27645-02    ,FDO14340A8H     ,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02    ,FDO14340AFL     ,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Standalone,WS-CBS3130X-S,FOC1420H012,,,
,,Module,800-27645-02    ,FDO141813Y8     ,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02    ,FDO141814P2     ,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Standalone,WS-CBS3130X-S,FOC1420H01R,,,
,,Module,800-27645-02    ,FDO14181E8Y     ,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02    ,FDO141800PJ     ,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Standalone,WS-CBS3130X-S,FOC1420H01Z,,,
,,Module,800-27645-02    ,FDO141816DL     ,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02    ,FDO141816MQ     ,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-5000-01,10.101.145.125,Parent Switch,N5K-C5010P-BF,SSI14120T8P,,Cisco,
,,FEX-105,N2K-C2248TP-1GE,JAF1415CKKF,"Fex-105 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1",Cisco,
,,FEX-106,N2K-C2248TP-1GE,JAF1416BLFJ,"Fex-106 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1",Cisco,
,,Module,N5K-C5010P-BF,JAF1417AFMD,20 port 10GE SFP+/Supervisor in Fixed Module-1,,
AL-5000-02,10.101.145.126,Parent Switch,N5K-C5010P-BF,SSI14150MJB,,Cisco,
,,Module,N5K-C5010P-BF,JAF1417DCKR,20 port 10GE SFP+/Supervisor in Fixed Module-1,,
AL-7000-01-ADMIN,10.101.145.123,Standalone,N7K-C7010,TBM13205522,,Cisco,VDCs: ADMIN
,,Module,N7K-F312FQ-25,JAE191207AL,10/40 Gbps Ethernet Module,,
,,Module,N7K-SUP2E,JAE19150EWX,Supervisor Module-2,,
,,Module,N7K-SUP2E,JAE1914000P,Supervisor Module-2,,
,,Module,N7K-F312FQ-25,JAE191208KP,10/40 Gbps Ethernet Module,,
,,Module,N7K-F312FQ-25,JAE19100085,10/40 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAE1915099A,1/10 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAE191509BS,1/10 Gbps Ethernet Module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACJP,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACJH,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACNF,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACKC,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACPD,Fabric card module,,
,,Module,"""""",MTC1911028N     ,Transceiver(slot:9-port:7),,
,,Module,"""""",MTC1911038E     ,Transceiver(slot:9-port:8),,
,,Module,"""""",00000MTC134004GB,Transceiver(slot:9-port:11),,
,,Module,"""""",AVC232221GM     ,Transceiver(slot:9-port:21),,
,,Module,"""""",00000MTC14100200,Transceiver(slot:9-port:22),,
,,Module,"""""",MTC191102TJ     ,Transceiver(slot:9-port:25),,
,,Module,"""""",00000MTC141000QJ,Transceiver(slot:9-port:26),,
,,Module,"""""",00000MTC141002AW,Transceiver(slot:9-port:27),,
,,Module,"""""",AGM184749FF     ,Transceiver(slot:9-port:28),,
,,Module,"""""",00000MTC141001UG,Transceiver(slot:9-port:29),,
,,Module,"""""",00000MTC141000K0,Transceiver(slot:9-port:30),,
,,Module,"""""",AGM142622SG     ,Transceiver(slot:9-port:31),,
,,Module,"""""",00000MTC141108WX,Transceiver(slot:9-port:32),,
,,Module,"""""",AGM142622C1     ,Transceiver(slot:9-port:33),,
,,Module,"""""",AGM2042448A     ,Transceiver(slot:9-port:34),,
,,Module,"""""",AGM142622NR     ,Transceiver(slot:9-port:35),,
,,Module,"""""",AGM151125MT     ,Transceiver(slot:9-port:37),,
,,Module,"""""",AGM142622S6     ,Transceiver(slot:9-port:38),,
,,Module,"""""",AGM14061698     ,Transceiver(slot:9-port:39),,
,,Module,"""""",AGM140616AG     ,Transceiver(slot:9-port:40),,
,,Module,"""""",AGM140616AE     ,Transceiver(slot:9-port:41),,
,,Module,"""""",AGM140616AF     ,Transceiver(slot:9-port:42),,
,,Module,"""""",AGM1406168J     ,Transceiver(slot:9-port:43),,
,,Module,"""""",00000MTC141108T8,Transceiver(slot:9-port:45),,
,,Module,"""""",00000MTC1410020S,Transceiver(slot:9-port:46),,
,,Module,"""""",00000MTC141108X6,Transceiver(slot:9-port:47),,
,,Module,"""""",FNS0846B3UQ     ,Transceiver(slot:9-port:48),,
,,Module,"""""",MTC1911035S     ,Transceiver(slot:10-port:3),,
,,Module,"""""",MTC191102SS     ,Transceiver(slot:10-port:7),,
,,Module,"""""",MTC191102R8     ,Transceiver(slot:10-port:8),,
,,Module,"""""",MTC22380Q1D     ,Transceiver(slot:10-port:27),,
,,Module,"""""",00000MTC1611072Z,Transceiver(slot:10-port:28),,
,,Module,"""""",00000MTC161405AB,Transceiver(slot:10-port:29),,
,,Module,"""""",00000MTC161109RQ,Transceiver(slot:10-port:30),,
,,Module,"""""",00000MTC161405FD,Transceiver(slot:10-port:31),,
,,Module,"""""",00000MTC161109SF,Transceiver(slot:10-port:32),,
,,Module,"""""",AGM1821208K     ,Transceiver(slot:10-port:33),,
,,Module,"""""",AGM184749F9     ,Transceiver(slot:10-port:34),,
,,Module,"""""",AGM142622CB     ,Transceiver(slot:10-port:35),,
,,Module,"""""",FNS12390FAJ     ,Transceiver(slot:10-port:37),,
,,Module,"""""",AGM1821209F     ,Transceiver(slot:10-port:38),,
,,Module,"""""",AGM18212098     ,Transceiver(slot:10-port:39),,
,,Module,"""""",AGM1821211V     ,Transceiver(slot:10-port:40),,
,,Module,"""""",00000MTC161405EY,Transceiver(slot:10-port:41),,
,,Module,"""""",00000MTC161404NJ,Transceiver(slot:10-port:42),,
,,Module,"""""",00000MTC1611077Z,Transceiver(slot:10-port:43),,
,,Module,"""""",AGM184749GF     ,Transceiver(slot:10-port:44),,
,,Module,"""""",FNS111711YQ     ,Transceiver(slot:10-port:45),,
,,Module,"""""",AGM201540KU     ,Transceiver(slot:10-port:47),,
,,SFP,QSFP-40G-SR4        ,JFQ202020FW     ,Transceiver(slot:1-port:1),,
,,SFP,QSFP-40G-SR-BD      ,AVM1843U62H     ,Transceiver(slot:1-port:2),,
,,SFP,QSFP-40G-SR4        ,AVP2018S0CC     ,Transceiver(slot:1-port:3),,
,,SFP,QSFP-40G-SR4        ,JFQ202020QX     ,Transceiver(slot:1-port:5),,
,,SFP,QSFP-40G-SR4        ,JFQ202120B3     ,Transceiver(slot:1-port:7),,
,,SFP,QSFP-40G-SR4        ,JFQ2017208S     ,Transceiver(slot:1-port:9),,
,,SFP,QSFP-40G-SR4        ,JFQ2021203P     ,Transceiver(slot:1-port:11),,
,,SFP,QSFP-40G-SR-BD      ,AVM1842U6C6     ,Transceiver(slot:7-port:1),,
,,SFP,QSFP-40G-SR-BD      ,AVM1842U5VL     ,Transceiver(slot:7-port:2),,
,,SFP,QSFP-40G-SR-BD      ,AVM1842U5VY     ,Transceiver(slot:7-port:3),,
AL-7000-02-ADMIN,10.101.145.124,Standalone,N7K-C7010,TBM13250072,,Cisco,VDCs: ADMIN
,,Module,N7K-F312FQ-25,JAE191208KU,10/40 Gbps Ethernet Module,,
,,Module,N7K-SUP2E,JAE1915031M,Supervisor Module-2,,
,,Module,N7K-SUP2E,JAE1915032L,Supervisor Module-2,,
,,Module,N7K-F312FQ-25,JAE19100084,10/40 Gbps Ethernet Module,,
,,Module,N7K-F312FQ-25,JAE191208L7,10/40 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAE191509AC,1/10 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAE191509D6,1/10 Gbps Ethernet Module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACEK,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACGA,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACKF,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACFF,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1903ACFN,Fabric card module,,
,,Module,"""""",MTC191101HG     ,Transceiver(slot:9-port:7),,
,,Module,"""""",00000MTC141109B5,Transceiver(slot:9-port:8),,
,,Module,"""""",00000MTC133904Z0,Transceiver(slot:9-port:11),,
,,Module,"""""",AVC23222566     ,Transceiver(slot:9-port:21),,
